Sample ID,Sample ID 2,Ala,Ala.sd,Asx,Asx.sd,Glx,Glx.sd,Gly,Gly.sd,His,His.sd,Ile,Ile.sd,Leu,Leu.sd,Lys,Lys.sd,Met,Met.sd,Phe,Phe.sd,Thr,Thr.sd,Tyr,Tyr.sd,Val,Val.sd
P6,Macroalgae,-4.5,0,-4.2,1,-4.7,0,-2.7,0.2,,,-6.3,0.6,-13.3,0.1,-1.7,0,-7.2,0.1,-12.8,0.1,-2.6,0.7,-12.2,0.3,-10.4,0.1
P7,Macroalgae,-9.5,0.2,-4.9,0.1,-11.3,0,-7.7,0.2,-7.6,0.1,-15.6,0.1,-23.9,0.4,-9.2,0.4,-12.7,0.5,-18.8,0.1,-1.2,0.5,-18.8,0.1,-19.1,0.1
P8,Macroalgae,-10.4,0.1,-9,0.3,-12,0.2,-6.9,0.2,-14.9,0.6,-19.5,0.2,-25.5,0.3,-10.7,0.2,-17.8,0.2,-20.4,0.2,-0.5,0.7,-21.9,0.1,-19.6,0.3
P9,Macroalgae,-9.2,0.2,-5.7,1.1,-9.6,0,-9.2,0.3,,,-10.9,0.1,-18.3,0.4,-8.2,0.1,,,-16.7,0.1,0.9,0.5,-17,0,-14.5,0
P10,Macroalgae,-14.1,0.1,-9.8,0.1,-12.6,0.1,-11.5,0.1,,,-16.9,0.1,-23.6,0.2,-10.8,0.3,-14.3,0.1,-23.6,0,5.4,4.6,-22.9,0.1,-21.2,0.2
P11,Macroalgae,-5.2,0,-5.5,0.8,-5.3,0,-1.9,0.1,-5.3,0.5,-7.3,0.1,-14.7,0.3,-4.5,0.2,-7.8,,-12.7,,0.8,0.3,-12.5,0,-10.9,0.2
P12,Macroalgae,-14.4,0.2,-8.7,0.1,-17.1,0.1,-16.2,0.8,-15.1,0.4,-17.6,0.2,-25.2,0.2,-9.1,0.1,-14.7,0.1,-21.2,0.1,-8.6,0,-20.4,0.2,-22.4,0.2
C1,Microalgae,-13.6,0.2,-12.8,0.2,-23.7,0.1,-15.3,0.6,-23.5,0.3,-27.7,0.2,-27.8,0.1,-18,0,-23.3,0.5,-24.9,0.3,-10.4,0.1,-23.7,0.1,-24,0.1
C2,Microalgae,-22.6,0.1,-16.2,0.1,-26.3,0,-23.1,0.2,,,-28.9,0,-36,0,-23.8,0.3,-23.9,0.4,-34.6,0.1,-19.5,0.6,-35,0.2,-32.8,0.1
C3,Microalgae,-11.6,0.1,-12.9,1,-15.3,0,-7.3,0.2,,,-17.3,0.1,-23.3,0.3,-13.4,0.2,,,-19.8,0.1,-5.9,1,-17.5,0.2,-20.5,0.2
C4,Microalgae,-13.1,0.3,-12.2,0.8,-18.9,0.1,-11.3,0.2,,,-20,0.1,-25.8,0,-13.8,0.3,,,-24,0.2,-10.1,0.1,-22.1,0.1,-24.2,0.1
D1,Microalgae,-9.7,0.1,-11.1,0.4,-11.4,0.1,-11.2,0.2,,,-10.2,0.1,-17.3,0.2,-8.8,0.5,,,-18.1,0.3,-2.7,0.8,-15.7,0.1,-13.8,0.1
D2,Microalgae,-7.4,0.2,-9.1,0.3,-7.5,0,-12,0.4,,,-11.5,0.1,-18.7,0,-11.1,0.2,,,-19.6,0.2,-2,0.9,-16,0.1,-16.8,0.2
D3,Microalgae,-10.3,0.1,-16.2,1,-12.2,0,-12.3,0.1,,,-16.5,0,-22.1,0.5,-15.8,0.2,-15,0.2,-20.6,0.1,-7,1.6,-19.4,0.1,-19.7,0
D4,Microalgae,-16,0.1,-17.7,0.1,-18.9,0,-12.2,0.1,,,-16.1,0.1,-25.5,0.4,-15.2,0.2,,,-23.8,0.1,-10.8,0.3,-21.8,0.1,-22.9,0.1
D5,Microalgae,-1.3,0.1,-6.6,1,-7.4,0.1,5.5,0.2,,,-10.4,0.1,-19.3,0.1,-8.5,0.2,-8.2,0.4,-16,0.4,-4.6,0.5,-14.4,0.2,-15.5,0.1
H1,Microalgae,-16.3,0,-15.6,0.1,-15.9,0.1,-13.5,0,-17.8,0.3,-18.3,0.6,-27.2,0,-15.7,0.1,-17.9,0.1,-23.2,0,-9.1,0.1,-22.3,0,-24.9,0
H2,Microalgae,-13.1,0.1,-13.1,1,-19.7,0.1,-19,0.1,,,-19.2,0.2,-23.8,0.1,-14.5,0.1,,,-24.6,0,-8.6,0.6,-22.6,0.1,-21.1,0.3
H3,Microalgae,-16.4,0.1,-13.3,0.2,-16.7,0.1,-19.6,0.1,,,-18.3,0.1,-31.4,0.1,-15.4,0.1,-19.9,0.2,-25,0,-8.9,0.2,-22.7,0.1,-26.8,0.1
H4,Microalgae,-11.2,0,-13.7,0.9,-15.9,0,-11.8,0.1,,,-13.8,0.1,-20.5,0.1,-12,0.4,,,-21.6,0.1,-6.8,0.3,-19.6,0.1,-18.8,0
K1,Microalgae,-12.1,0.5,-13,0.7,-15.6,0.1,-7.1,0.6,,,-15.8,1.3,-23.7,0.3,-13,0.3,-16.9,0.3,-19.7,0.1,-6.7,0.5,-16.8,0.2,-19.2,0.5
K2,Microalgae,-12.7,0.1,-12.3,0.9,-14.3,0.1,-7.9,0.1,,,-15.3,0.5,-23.3,0.1,-12.2,0,-15.5,0.4,-21.4,0,-2.2,0.8,-19.4,0.1,-20.6,0.1
K3,Microalgae,-4.1,0,-5.7,0,-10,0.1,0.2,0.1,,,-10.4,0.1,-15.7,0.1,-5.2,0.1,,,-15.9,0.1,-8.1,0.9,-14.2,0,-13,0.1
K4,Microalgae,-5.5,0.1,-7.5,0.1,-10.8,0.1,-6.6,0.1,,,-11.4,0,-16.7,0.1,-7.7,0.3,,,-15.7,0.1,-4.2,0.3,-12.5,0.1,-15.3,0
K5,Microalgae,-13.8,0.1,-14,0.4,-17.7,0.1,-13.8,0.1,,,-16.3,0.2,-23.2,0.3,-13.9,0.4,,,-22.2,0,-6.4,0.3,-20.3,0.2,-20.4,0.1
