Coral,ID 1,ID 2,Sample,Distance (um),Fraction modern,error,D14C,D14C,d13C,14C Age,error,Year analyzed
stet-4904-bc1-d5,N105004,STET 2.15,2.15,1998,0.92,0.003206085,-84.6,,-15.0,710,30,2013
stet-4904-bc1-d5,N105005,STET 2.43,2.43,2502,0.91,0.003170953,-94.3,,-15.0,795,30,2013
stet-4904-bc1-d5,N105006,STET 2.71,2.71,2988,0.89,0.003119424,-109.5,,-15.0,930,30,2013
stet-4904-bc1-d5,N105007,STET 3.3B,3.3B,3498,0.88,0.003080219,-120.6,,-15.0,1030,30,2013
stet-4904-bc1-d5,N105008,STET 3.36,3.36,4008,0.89,0.003104934,-114.2,,-15.0,975,30,2013
stet-4904-bc1-d5,N105009,STET 3.69*,3.69*,4503,0.87,0.003182187,-126.0,,-15.0,1080,30,2013
stet-4904-bc1-d5,N105010,STET 3.105,3.105,4998,0.86,0.003016156,-139.7,,-15.0,1210,30,2013
stet-4904-bc1-d5,N105011,STET 4.23*,4.23*,5513,0.85,0.002980508,-146.7,,-15.0,1275,30,2013
stet-4904-bc1-d5,N105012,STET 5.1,5.1,6021,0.86,0.003633516,-143.9,,-15.0,1250,35,2013
stet-4904-bc1-d5,N105013,STET 5.61,5.61,6501,0.82,0.002865857,-183.3,,-15.0,1625,30,2013
stet-4904-bc1-d5,N105014,STET 5.124,5.124,7005,0.85,0.002986901,-148.5,,-15.0,1290,30,2013
stet-4904-bc1-d5,N105015,STET 6.6A,6.6,7503,0.83,0.002922095,-167.0,,-15.0,1470,30,2013
stet-4904-bc1-d5,N105016,STET 6.6B,6.6,7503,0.84,0.002932969,-163.6,,-15.0,1435,30,2013
stet-4904-bc1-d5,N105017,STET 6.33A,6.33,8016,0.84,0.002935104,-164.8,,-15.0,1445,30,2013
stet-4904-bc1-d5,N105018,STET 6.33B,6.33,8016,0.84,0.002934269,-164.6,,-15.0,1445,30,2013
stet-4904-bc1-d5,N105019,STET 7.67,7.67,9507,0.80,0.003063056,-202.7,,-15.0,1820,35,2013
stet-4904-bc1-d5,N105020,STET 7.94,7.94,10011,0.81,0.002830647,-193.3,,-15.0,1725,30,2013
stet-4904-bc1-d5,N105021,STET 7.123,7.123,10533,0.84,0.002960407,-155.9,,-15.0,1360,30,2013
stet-4904-bc1-d5,N105022,STET 7.149,7.149,11001,0.84,0.00295373,-157.9,,-15.0,1380,30,2013
