depth,d15N,d13C
10.30,7.12,-15.4
10.32,7.03,-15.66
10.35,7.39,-15.6
10.38,7.42,-15.59
10.41,8.73,-15.32
10.44,8.75,-15.35
10.47,6.67,-15.66
10.50,7.02,-16.09
10.53,6.9,-15.84
10.56,6.49,-15.75
10.59,6.73,-15.82
10.61,6.77,-15.89
10.64,6.73,-15.83
10.67,6.74,-16.05
10.70,6.95,-15.94
10.73,6.84,-15.68
10.76,6.91,-15.59
10.79,7.09,-15.37
10.82,7.82,-15.59
10.85,7.5,-15.94
10.88,7.8,-15.77
10.90,7.86,-16.05
10.93,,
10.96,,
10.99,7.98,-16.08
11.02,7.78,-15.78
11.05,7.57,-16.48
11.08,7.62,-16.02
11.11,7.56,-16.32
11.14,7.33,-16.39
11.17,7.17,-16.79
