depth	min95%	max95%	best	acc.rate
9.28	1034	1189	1097	58.55
9.31	1035	1192	1099	58.28
9.34	1036	1195	1101	58
9.37	1038	1198	1102	57.73
9.4	1039	1201	1104	57.46
9.43	1040	1204	1106	57.24
9.45	1041	1206	1107	57.02
9.48	1043	1208	1109	56.76
9.51	1044	1211	1111	56.5
9.54	1045	1214	1112	56.24
9.57	1046	1217	1114	55.99
9.6	1048	1220	1116	55.74
9.63	1049	1223	1117	55.5
9.66	1050	1225	1119	55.26
9.69	1052	1228	1121	55.03
9.72	1053	1231	1122	54.84
9.74	1054	1233	1123	54.65
9.77	1055	1236	1125	54.43
9.8	1056	1239	1127	54.22
9.83	1057	1241	1128	54.01
9.86	1058	1244	1130	53.8
9.89	1059	1247	1131	53.6
9.92	1060	1249	1133	53.4
9.95	1061	1252	1135	53.21
9.98	1062	1255	1136	53.06
10.01	1063	1257	1138	52.87
10.03	1063	1259	1139	52.73
10.06	1064	1261	1140	52.56
10.09	1066	1264	1142	52.4
10.12	1067	1267	1144	52.24
10.15	1068	1269	1145	52.09
10.18	1069	1272	1147	51.95
10.21	1070	1275	1148	51.82
10.24	1071	1277	1150	51.69
10.27	1071	1280	1151	51.57
10.3	1072	1282	1153	51.47
10.32	1073	1284	1154	51.38
10.35	1074	1287	1156	51.28
10.38	1075	1289	1157	51.19
10.41	1075	1292	1159	51.1
10.44	1076	1295	1160	51.02
10.47	1077	1297	1162	50.95
10.5	1078	1300	1163	50.89
10.53	1079	1302	1165	50.83
10.56	1080	1305	1166	50.77
10.59	1081	1308	1168	50.73
10.61	1081	1309	1169	50.69
10.64	1082	1312	1170	50.65
10.67	1083	1315	1172	50.61
10.7	1084	1318	1173	50.57
10.73	1085	1320	1175	50.54
10.76	1086	1323	1176	50.51
10.79	1087	1326	1178	50.48
10.82	1088	1329	1179	50.46
10.85	1089	1332	1181	50.44
10.88	1090	1335	1182	50.43
10.9	1090	1337	1183	50.42
10.93	1091	1340	1185	50.41
10.96	1092	1342	1186	50.41
10.99	1093	1345	1188	50.4
11.02	1094	1348	1190	50.4
11.05	1095	1351	1191	50.4
11.08	1096	1354	1193	50.4
11.11	1097	1357	1194	50.4
11.14	1097	1360	1196	50.4
11.17	1098	1363	1197	50.4
